tool	context	sample_size	rep	region	n_files	elapsed_sec	user_sec	sys_sec	max_rss_kb	exit_status
ballc	CG	1000	0011	chr11:25599990-25600068	1000	91.88	70.44	20.61	35184	0
ballc	CG	1000	0012	chr11:58972007-58972930	1000	92.00	70.29	20.86	35220	0
dmpp_list	CG	1000	0012	chr11:58972007-58972930	1000	3.97	3.66	0.15	15136	0
dmpp_list	CG	1000	0013	chr8:10777349-10777787	1000	2.42	2.27	0.11	15244	0
ballc	CG	1000	0013	chr8:10777349-10777787	1000	90.46	68.95	20.79	35212	0
ballc	CG	1000	0014	chr5:135132025-135132550	1000	90.80	69.46	20.57	35212	0
dmpp_list	CG	1000	0014	chr5:135132025-135132550	1000	3.69	3.36	0.15	15256	0
dmpp_list	CG	1000	0015	chr22:45017786-45018409	1000	3.52	3.32	0.15	13224	0
ballc	CG	1000	0015	chr22:45017786-45018409	1000	91.63	69.79	21.10	35212	0
ballc	CG	1000	0016	chr14:25520941-25521563	1000	91.31	69.92	20.70	35212	0
dmpp_list	CG	1000	0016	chr14:25520941-25521563	1000	3.57	3.33	0.17	15252	0
dmpp_list	CG	1000	0017	chr5:175048343-175048570	1000	3.51	3.32	0.14	15268	0
ballc	CG	1000	0017	chr5:175048343-175048570	1000	91.20	70.11	20.30	35236	0
ballc	CG	1000	0018	chr3:34346374-34347822	1000	91.06	69.92	20.38	35224	0
dmpp_list	CG	1000	0018	chr3:34346374-34347822	1000	3.59	3.35	0.15	15460	0
dmpp_list	CG	1000	0019	chr16:27056092-27058943	1000	3.60	3.40	0.15	13268	0
ballc	CG	1000	0019	chr16:27056092-27058943	1000	91.86	70.29	20.86	35236	0
ballc	CG	1000	0020	chr21:46591012-46594063	1000	91.43	70.06	20.67	35220	0
dmpp_list	CG	1000	0020	chr21:46591012-46594063	1000	2.41	2.19	0.15	15040	0
dmpp_list	CG	1000	0021	chr3:140475747-140476554	1000	3.53	3.35	0.14	15300	0
ballc	CG	1000	0021	chr3:140475747-140476554	1000	89.42	68.26	20.52	35240	0
ballc	CG	1000	0022	chr1:221680909-221682657	1000	88.67	67.15	20.87	35216	0
dmpp_list	CG	1000	0022	chr1:221680909-221682657	1000	3.77	3.37	0.16	15276	0
dmpp_list	CG	1000	0023	chr16:26123069-26123622	1000	3.91	3.54	0.14	15244	0
ballc	CG	1000	0023	chr16:26123069-26123622	1000	87.81	67.06	20.07	35220	0
ballc	CG	1000	0024	chr14:85913918-85914615	1000	87.61	66.85	20.15	35208	0
dmpp_list	CG	1000	0024	chr14:85913918-85914615	1000	3.68	3.36	0.16	15292	0
dmpp_list	CG	1000	0025	chr2:65030383-65030570	1000	3.73	3.54	0.15	15280	0
ballc	CG	1000	0025	chr2:65030383-65030570	1000	87.86	67.04	20.23	35216	0
ballc	CG	1000	0026	chr11:79348942-79349508	1000	87.34	66.54	20.21	35212	0
dmpp_list	CG	1000	0026	chr11:79348942-79349508	1000	3.60	3.36	0.15	15272	0
dmpp_list	CG	1000	0027	chr20:26276905-26277145	1000	3.72	3.51	0.16	15232	0
ballc	CG	1000	0027	chr20:26276905-26277145	1000	87.55	66.43	20.17	35216	0
ballc	CG	1000	0028	chr6:65980861-65985996	1000	87.81	67.13	20.08	35212	0
dmpp_list	CG	1000	0028	chr6:65980861-65985996	1000	3.84	3.36	0.17	15220	0
dmpp_list	CG	1000	0029	chr12:118715386-118717440	1000	3.85	3.62	0.14	13180	0
ballc	CG	1000	0029	chr12:118715386-118717440	1000	87.79	66.08	20.90	35208	0
ballc	CG	1000	0030	chr7:67595333-67595734	1000	87.03	65.87	20.49	35208	0
dmpp_list	CG	1000	0030	chr7:67595333-67595734	1000	3.60	3.34	0.16	13216	0
dmpp_list	CG	1000	0031	chr11:57989487-57990002	1000	3.81	3.61	0.14	13172	0
ballc	CG	1000	0031	chr11:57989487-57990002	1000	87.99	66.66	20.72	35184	0
ballc	CG	1000	0032	chr19:23909741-23914442	1000	94.07	70.03	23.31	35224	0
dmpp_list	CG	1000	0032	chr19:23909741-23914442	1000	3.85	3.37	0.14	13212	0
dmpp_list	CG	1000	0033	chr11:127370712-127372744	1000	3.99	3.64	0.15	13216	0
ballc	CG	1000	0033	chr11:127370712-127372744	1000	92.47	68.35	23.43	35216	0
ballc	CG	1000	0034	chr2:40967444-40967745	1000	87.69	66.63	20.42	35208	0
dmpp_list	CG	1000	0034	chr2:40967444-40967745	1000	3.81	3.36	0.16	15248	0
dmpp_list	CG	1000	0035	chr10:3813894-3814451	1000	4.02	3.60	0.15	15168	0
ballc	CG	1000	0035	chr10:3813894-3814451	1000	87.95	66.86	20.50	35216	0
ballc	CG	1000	0036	chr15:98348879-98349258	1000	87.99	66.81	20.58	35208	0
dmpp_list	CG	1000	0036	chr15:98348879-98349258	1000	3.65	3.37	0.16	15228	0
dmpp_list	CG	1000	0037	chr4:2798992-2799189	1000	4.04	3.81	0.12	15236	0
ballc	CG	1000	0037	chr4:2798992-2799189	1000	87.54	66.19	20.61	35196	0
ballc	CG	1000	0038	chr7:147213115-147214169	1000	88.67	66.63	21.38	35232	0
dmpp_list	CG	1000	0038	chr7:147213115-147214169	1000	3.53	3.36	0.13	13184	0
dmpp_list	CG	1000	0039	chr11:132609364-132610559	1000	3.76	3.59	0.12	13188	0
ballc	CG	1000	0039	chr11:132609364-132610559	1000	86.93	65.47	20.85	35220	0
ballc	CG	1000	0040	chr18:53505240-53506718	1000	88.55	67.10	20.88	35252	0
dmpp_list	CG	1000	0040	chr18:53505240-53506718	1000	3.62	3.34	0.17	15168	0
dmpp_list	CG	1000	0041	chr7:142155340-142155941	1000	3.95	3.78	0.13	13268	0
ballc	CG	1000	0041	chr7:142155340-142155941	1000	87.56	66.29	20.65	35156	0
ballc	CG	1000	0042	chr8:93258272-93259554	1000	87.63	66.09	20.93	35216	0
dmpp_list	CG	1000	0042	chr8:93258272-93259554	1000	3.69	3.35	0.15	15248	0
dmpp_list	CG	1000	0043	chrX:56913054-56913738	1000	3.96	3.78	0.13	15168	0
ballc	CG	1000	0043	chrX:56913054-56913738	1000	86.30	65.54	20.20	35204	0
ballc	CG	1000	0044	chr6:124143967-124145005	1000	88.59	66.62	21.21	35232	0
dmpp_list	CG	1000	0044	chr6:124143967-124145005	1000	3.77	3.51	0.14	13176	0
dmpp_list	CG	1000	0045	chr12:57609991-57611227	1000	3.99	3.74	0.12	13200	0
ballc	CG	1000	0045	chr12:57609991-57611227	1000	88.35	66.48	21.29	35236	0
ballc	CG	1000	0046	chr5:16416167-16417731	1000	88.16	66.57	20.98	35228	0
dmpp_list	CG	1000	0046	chr5:16416167-16417731	1000	3.67	3.48	0.14	13128	0
dmpp_list	CG	1000	0047	chrX:33732914-33733256	1000	3.97	3.78	0.14	13228	0
ballc	CG	1000	0047	chrX:33732914-33733256	1000	87.73	65.94	21.16	35244	0
ballc	CG	1000	0048	chr20:7208269-7209333	1000	87.52	65.88	21.05	35236	0
dmpp_list	CG	1000	0048	chr20:7208269-7209333	1000	3.67	3.49	0.12	13260	0
dmpp_list	CG	1000	0049	chr2:236818024-236818461	1000	3.91	3.73	0.14	13420	0
ballc	CG	1000	0049	chr2:236818024-236818461	1000	87.65	65.76	21.32	35232	0
ballc	CG	1000	0050	chr13:55588098-55589591	1000	86.68	65.93	20.18	35236	0
dmpp_list	CG	1000	0050	chr13:55588098-55589591	1000	3.85	3.56	0.13	15452	0
dmpp_list	CG	1000	0051	chr4:72047673-72048201	1000	4.00	3.82	0.14	15220	0
ballc	CG	1000	0051	chr4:72047673-72048201	1000	86.12	65.15	20.36	35220	0
ballc	CG	1000	0052	chr5:15449680-15450643	1000	85.66	65.36	19.68	35244	0
dmpp_list	CG	1000	0052	chr5:15449680-15450643	1000	3.80	3.59	0.13	15256	0
dmpp_list	CG	1000	0053	chr8:11955567-11956074	1000	3.88	3.71	0.14	15300	0
ballc	CG	1000	0053	chr8:11955567-11956074	1000	85.65	65.07	19.98	35192	0
ballc	CG	1000	0054	chr10:123671691-123674480	1000	85.66	65.11	19.95	35200	0
dmpp_list	CG	1000	0054	chr10:123671691-123674480	1000	3.80	3.55	0.14	15292	0
dmpp_list	CG	1000	0055	chr18:70005736-70006080	1000	3.96	3.80	0.12	15260	0
ballc	CG	1000	0055	chr18:70005736-70006080	1000	84.31	63.39	20.31	35212	0
ballc	CG	1000	0056	chr6:126560209-126560748	1000	85.61	65.24	19.72	35188	0
dmpp_list	CG	1000	0056	chr6:126560209-126560748	1000	3.78	3.59	0.13	15220	0
dmpp_list	CG	1000	0057	chr6:168472624-168474551	1000	3.47	3.33	0.10	15248	0
ballc	CG	1000	0057	chr6:168472624-168474551	1000	85.81	65.38	19.82	35232	0
ballc	CG	1000	0058	chr8:3472697-3473159	1000	84.34	63.74	19.95	35228	0
dmpp_list	CG	1000	0058	chr8:3472697-3473159	1000	3.96	3.52	0.15	15164	0
dmpp_list	CG	1000	0059	chr19:28344343-28346016	1000	3.95	3.77	0.14	15256	0
ballc	CG	1000	0059	chr19:28344343-28346016	1000	85.55	64.82	20.11	35252	0
ballc	CG	1000	0060	chr9:20562981-20563797	1000	84.50	64.17	19.77	35204	0
dmpp_list	CG	1000	0060	chr9:20562981-20563797	1000	4.11	3.67	0.15	15296	0
dmpp_list	CG	1000	0061	chr8:136221145-136222235	1000	3.95	3.79	0.12	15244	0
ballc	CG	1000	0061	chr8:136221145-136222235	1000	85.79	65.13	20.03	35196	0
ballc	CG	1000	0062	chr12:5622945-5623319	1000	84.20	63.72	19.88	35232	0
dmpp_list	CG	1000	0062	chr12:5622945-5623319	1000	3.90	3.69	0.15	15264	0
dmpp_list	CG	1000	0063	chr4:19164070-19165278	1000	3.96	3.79	0.13	15280	0
ballc	CG	1000	0063	chr4:19164070-19165278	1000	85.53	65.11	19.85	35188	0
ballc	CG	1000	0064	chr9:9458902-9461863	1000	85.22	64.91	19.71	35228	0
dmpp_list	CG	1000	0064	chr9:9458902-9461863	1000	3.88	3.68	0.14	15468	0
dmpp_list	CG	1000	0065	chr7:126955811-126958406	1000	3.94	3.75	0.15	15156	0
ballc	CG	1000	0065	chr7:126955811-126958406	1000	85.87	65.26	20.05	35232	0
ballc	CG	1000	0066	chrX:130119041-130119207	1000	85.58	64.68	20.33	35152	0
dmpp_list	CG	1000	0066	chrX:130119041-130119207	1000	3.87	3.69	0.14	15208	0
dmpp_list	CG	1000	0067	chr7:27111485-27111903	1000	3.89	3.74	0.11	15216	0
ballc	CG	1000	0067	chr7:27111485-27111903	1000	85.47	64.80	20.11	35196	0
ballc	CG	1000	0068	chr1:73519185-73519932	1000	85.72	65.17	20.02	35196	0
dmpp_list	CG	1000	0068	chr1:73519185-73519932	1000	4.17	3.75	0.13	15468	0
dmpp_list	CG	1000	0069	chr18:50268597-50268728	1000	3.98	3.80	0.13	15300	0
ballc	CG	1000	0069	chr18:50268597-50268728	1000	85.74	65.23	19.95	35244	0
ballc	CG	1000	0070	chr6:51492948-51493393	1000	84.33	63.95	19.82	35236	0
dmpp_list	CG	1000	0070	chr6:51492948-51493393	1000	3.94	3.75	0.14	15300	0
dmpp_list	CG	1000	0071	chr6:50817231-50817460	1000	3.97	3.81	0.12	15460	0
ballc	CG	1000	0071	chr6:50817231-50817460	1000	85.69	65.11	19.96	35188	0
ballc	CG	1000	0072	chr18:5427768-5427951	1000	85.98	65.36	19.98	35172	0
dmpp_list	CG	1000	0072	chr18:5427768-5427951	1000	3.88	3.69	0.13	15168	0
dmpp_list	CG	1000	0073	chr7:53525475-53525834	1000	3.94	3.78	0.11	15304	0
ballc	CG	1000	0073	chr7:53525475-53525834	1000	84.91	64.41	19.89	35204	0
ballc	CG	1000	0074	chr20:61695399-61695722	1000	84.91	64.14	20.07	35200	0
dmpp_list	CG	1000	0074	chr20:61695399-61695722	1000	4.09	3.61	0.18	15244	0
dmpp_list	CG	1000	0075	chr10:18400909-18401323	1000	3.94	3.76	0.14	15476	0
ballc	CG	1000	0075	chr10:18400909-18401323	1000	86.40	65.71	20.09	35188	0
ballc	CG	1000	0076	chr12:123391597-123392259	1000	86.34	65.50	20.19	35200	0
dmpp_list	CG	1000	0076	chr12:123391597-123392259	1000	3.07	2.66	0.12	15292	0
dmpp_list	CG	1000	0077	chr13:110308769-110308902	1000	2.37	2.23	0.12	15240	0
ballc	CG	1000	0077	chr13:110308769-110308902	1000	85.53	65.04	19.88	35188	0
ballc	CG	1000	0078	chr4:44354342-44357413	1000	85.94	65.54	19.78	35208	0
dmpp_list	CG	1000	0078	chr4:44354342-44357413	1000	3.54	3.38	0.12	15136	0
dmpp_list	CG	1000	0079	chr2:48901985-48904986	1000	3.54	3.36	0.14	15460	0
ballc	CG	1000	0079	chr2:48901985-48904986	1000	85.98	65.32	20.08	35224	0
ballc	CG	1000	0080	chr13:82821299-82821513	1000	85.07	64.32	20.16	35196	0
dmpp_list	CG	1000	0080	chr13:82821299-82821513	1000	3.66	3.37	0.16	15300	0
dmpp_list	CG	1000	0081	chr6:7200983-7201712	1000	3.55	3.40	0.10	15472	0
ballc	CG	1000	0081	chr6:7200983-7201712	1000	86.01	65.22	20.20	35220	0
ballc	CG	1000	0082	chr16:35473551-35474428	1000	84.91	64.02	20.24	35200	0
dmpp_list	CG	1000	0082	chr16:35473551-35474428	1000	3.75	3.41	0.15	15472	0
dmpp_list	CG	1000	0083	chr1:13233364-13233554	1000	3.52	3.34	0.14	15076	0
ballc	CG	1000	0083	chr1:13233364-13233554	1000	84.66	63.80	20.10	35180	0
ballc	CG	1000	0084	chr12:53677129-53677640	1000	84.99	64.32	20.04	35196	0
dmpp_list	CG	1000	0084	chr12:53677129-53677640	1000	3.79	3.35	0.16	15244	0
dmpp_list	CG	1000	0085	chr7:153566888-153570225	1000	3.58	3.39	0.15	15472	0
ballc	CG	1000	0085	chr7:153566888-153570225	1000	85.78	65.06	19.96	35204	0
ballc	CG	1000	0086	chr12:11727290-11727741	1000	84.31	63.69	19.99	35208	0
dmpp_list	CG	1000	0086	chr12:11727290-11727741	1000	3.85	3.39	0.17	15260	0
dmpp_list	CG	1000	0087	chr13:107546191-107546670	1000	3.61	3.44	0.13	15196	0
ballc	CG	1000	0087	chr13:107546191-107546670	1000	84.76	63.91	20.11	35180	0
ballc	CG	1000	0088	chr8:72834326-72834875	1000	84.74	64.02	20.09	35192	0
dmpp_list	CG	1000	0088	chr8:72834326-72834875	1000	3.82	3.37	0.16	15164	0
dmpp_list	CG	1000	0089	chr17:56105181-56105412	1000	3.71	3.54	0.13	15156	0
ballc	CG	1000	0089	chr17:56105181-56105412	1000	84.75	64.11	19.91	35200	0
ballc	CG	1000	0090	chr7:52514751-52515858	1000	84.88	64.10	20.08	35204	0
dmpp_list	CG	1000	0090	chr7:52514751-52515858	1000	3.80	3.36	0.16	15456	0
dmpp_list	CG	1000	0091	chr18:25400148-25400486	1000	3.79	3.64	0.11	15220	0
ballc	CG	1000	0091	chr18:25400148-25400486	1000	84.94	63.91	20.36	35180	0
ballc	CG	1000	0092	chr14:83475221-83478226	1000	85.30	64.48	20.12	35240	0
dmpp_list	CG	1000	0092	chr14:83475221-83478226	1000	3.83	3.40	0.14	15164	0
dmpp_list	CG	1000	0093	chr20:55530845-55534227	1000	3.83	3.65	0.15	15392	0
ballc	CG	1000	0093	chr20:55530845-55534227	1000	85.08	64.40	20.01	35236	0
ballc	CG	1000	0094	chr5:68250344-68251453	1000	84.97	64.01	20.25	35184	0
dmpp_list	CG	1000	0094	chr5:68250344-68251453	1000	3.80	3.38	0.14	15296	0
dmpp_list	CG	1000	0095	chr19:53584341-53585579	1000	3.86	3.71	0.12	15284	0
ballc	CG	1000	0095	chr19:53584341-53585579	1000	85.03	64.35	20.01	35192	0
ballc	CG	1000	0096	chr4:46269607-46271784	1000	84.68	63.67	20.24	35208	0
dmpp_list	CG	1000	0096	chr4:46269607-46271784	1000	3.84	3.40	0.14	15464	0
dmpp_list	CG	1000	0097	chr7:32211625-32212362	1000	3.95	3.79	0.12	15260	0
ballc	CG	1000	0097	chr7:32211625-32212362	1000	84.86	64.09	20.05	35192	0
ballc	CG	1000	0098	chr18:1119195-1120276	1000	84.51	63.69	20.15	35172	0
dmpp_list	CG	1000	0098	chr18:1119195-1120276	1000	3.73	3.30	0.15	15268	0
dmpp_list	CG	1000	0099	chr10:44387560-44387653	1000	3.91	3.75	0.12	15220	0
ballc	CG	1000	0099	chr10:44387560-44387653	1000	84.84	64.02	20.08	35196	0
ballc	CG	1000	0100	chr1:236713100-236713431	1000	84.90	64.12	20.14	35152	0
dmpp_list	CG	1000	0100	chr1:236713100-236713431	1000	3.85	3.40	0.16	15216	0
dmpp_list	CG	100	0001	chr18:60904687-60905329	100	2.07	0.35	0.03	13040	0
ballc	CG	100	0001	chr18:60904687-60905329	100	9.62	6.15	2.15	35208	0
ballc	CG	100	0002	chr7:129102492-129103257	100	9.68	6.79	2.14	35228	0
dmpp_list	CG	100	0002	chr7:129102492-129103257	100	0.35	0.31	0.02	15068	0
dmpp_list	CG	100	0003	chr10:80986092-80987802	100	1.29	0.34	0.03	15100	0
ballc	CG	100	0003	chr10:80986092-80987802	100	10.07	7.20	2.31	35232	0
ballc	CG	100	0004	chr7:73004751-73004968	100	9.87	7.10	2.28	35160	0
dmpp_list	CG	100	0004	chr7:73004751-73004968	100	0.36	0.33	0.02	13104	0
dmpp_list	CG	100	0005	chr19:54565849-54566796	100	0.86	0.34	0.02	15008	0
ballc	CG	100	0005	chr19:54565849-54566796	100	9.14	6.79	2.27	35124	0
ballc	CG	100	0006	chr9:100907369-100908413	100	9.89	7.03	2.34	35228	0
dmpp_list	CG	100	0006	chr9:100907369-100908413	100	0.36	0.33	0.02	15076	0
dmpp_list	CG	100	0007	chr6:62666358-62666693	100	0.35	0.32	0.02	13100	0
ballc	CG	100	0007	chr6:62666358-62666693	100	9.87	7.17	2.26	35208	0
ballc	CG	100	0008	chr8:4995081-4995181	100	10.58	6.98	2.74	35184	0
dmpp_list	CG	100	0008	chr8:4995081-4995181	100	0.42	0.29	0.02	13060	0
dmpp_list	CG	100	0009	chr5:2250505-2250695	100	0.35	0.32	0.02	13044	0
ballc	CG	100	0009	chr5:2250505-2250695	100	9.74	6.96	2.23	35152	0
ballc	CG	100	0010	chr11:92883107-92883298	100	9.81	6.95	2.29	35164	0
dmpp_list	CG	100	0010	chr11:92883107-92883298	100	0.91	0.32	0.03	13044	0
dmpp_list	CG	100	0011	chr11:25599990-25600068	100	0.84	0.32	0.03	15048	0
ballc	CG	100	0011	chr11:25599990-25600068	100	10.10	6.89	2.39	35136	0
ballc	CG	100	0012	chr11:58972007-58972930	100	9.74	6.76	2.27	35196	0
dmpp_list	CG	100	0012	chr11:58972007-58972930	100	0.48	0.33	0.03	14944	0
dmpp_list	CG	100	0013	chr8:10777349-10777787	100	0.36	0.33	0.02	15076	0
ballc	CG	100	0013	chr8:10777349-10777787	100	9.88	6.94	2.32	35152	0
ballc	CG	100	0014	chr5:135132025-135132550	100	9.80	7.00	2.28	35236	0
dmpp_list	CG	100	0014	chr5:135132025-135132550	100	0.37	0.32	0.03	15176	0
dmpp_list	CG	100	0015	chr22:45017786-45018409	100	0.92	0.34	0.02	13256	0
ballc	CG	100	0015	chr22:45017786-45018409	100	9.78	6.91	2.34	35228	0
ballc	CG	100	0016	chr14:25520941-25521563	100	9.96	7.16	2.24	35204	0
dmpp_list	CG	100	0016	chr14:25520941-25521563	100	1.04	0.32	0.03	13208	0
dmpp_list	CG	100	0017	chr5:175048343-175048570	100	0.34	0.30	0.03	13264	0
ballc	CG	100	0017	chr5:175048343-175048570	100	10.00	7.13	2.25	35180	0
ballc	CG	100	0018	chr3:34346374-34347822	100	9.85	7.06	2.25	35240	0
dmpp_list	CG	100	0018	chr3:34346374-34347822	100	0.46	0.32	0.03	15096	0
dmpp_list	CG	100	0019	chr16:27056092-27058943	100	1.07	0.32	0.02	13320	0
ballc	CG	100	0019	chr16:27056092-27058943	100	10.12	7.28	2.20	35200	0
ballc	CG	100	0020	chr21:46591012-46594063	100	10.06	7.23	2.17	35176	0
dmpp_list	CG	100	0020	chr21:46591012-46594063	100	0.28	0.19	0.01	11808	0
dmpp_list	CG	100	0021	chr3:140475747-140476554	100	0.85	0.32	0.02	15040	0
ballc	CG	100	0021	chr3:140475747-140476554	100	9.86	7.08	2.16	35204	0
ballc	CG	100	0022	chr1:221680909-221682657	100	9.57	6.95	2.06	35208	0
dmpp_list	CG	100	0022	chr1:221680909-221682657	100	1.11	0.34	0.02	15080	0
dmpp_list	CG	100	0023	chr16:26123069-26123622	100	0.45	0.33	0.02	15040	0
ballc	CG	100	0023	chr16:26123069-26123622	100	9.80	7.11	2.15	35232	0
ballc	CG	100	0024	chr14:85913918-85914615	100	9.67	6.91	2.18	35164	0
dmpp_list	CG	100	0024	chr14:85913918-85914615	100	0.67	0.34	0.02	13268	0
dmpp_list	CG	100	0025	chr2:65030383-65030570	100	0.67	0.33	0.03	14784	0
ballc	CG	100	0025	chr2:65030383-65030570	100	9.97	7.11	2.18	35208	0
ballc	CG	100	0026	chr11:79348942-79349508	100	10.11	7.22	2.16	35184	0
dmpp_list	CG	100	0026	chr11:79348942-79349508	100	0.61	0.32	0.03	12924	0
dmpp_list	CG	100	0027	chr20:26276905-26277145	100	0.95	0.32	0.03	13020	0
ballc	CG	100	0027	chr20:26276905-26277145	100	9.94	7.20	2.16	35200	0
ballc	CG	100	0028	chr6:65980861-65985996	100	9.86	6.98	2.25	35272	0
dmpp_list	CG	100	0028	chr6:65980861-65985996	100	0.35	0.33	0.02	15080	0
dmpp_list	CG	100	0029	chr12:118715386-118717440	100	0.90	0.33	0.02	15064	0
ballc	CG	100	0029	chr12:118715386-118717440	100	9.83	7.08	2.26	35228	0
ballc	CG	100	0030	chr7:67595333-67595734	100	9.91	7.08	2.20	35164	0
dmpp_list	CG	100	0030	chr7:67595333-67595734	100	0.37	0.33	0.03	15136	0
dmpp_list	CG	100	0031	chr11:57989487-57990002	100	0.37	0.34	0.01	13100	0
ballc	CG	100	0031	chr11:57989487-57990002	100	9.85	7.00	2.25	35184	0
ballc	CG	100	0032	chr19:23909741-23914442	100	9.88	7.05	2.13	35236	0
dmpp_list	CG	100	0032	chr19:23909741-23914442	100	0.55	0.32	0.04	13100	0
dmpp_list	CG	100	0033	chr11:127370712-127372744	100	0.44	0.33	0.02	14996	0
ballc	CG	100	0033	chr11:127370712-127372744	100	9.76	7.00	2.10	35280	0
ballc	CG	100	0034	chr2:40967444-40967745	100	9.66	6.92	2.12	35204	0
dmpp_list	CG	100	0034	chr2:40967444-40967745	100	0.44	0.33	0.03	15036	0
dmpp_list	CG	100	0035	chr10:3813894-3814451	100	0.41	0.33	0.03	13048	0
ballc	CG	100	0035	chr10:3813894-3814451	100	9.96	7.16	2.24	35196	0
ballc	CG	100	0036	chr15:98348879-98349258	100	9.72	6.94	2.21	35172	0
dmpp_list	CG	100	0036	chr15:98348879-98349258	100	0.84	0.32	0.03	15044	0
dmpp_list	CG	100	0037	chr4:2798992-2799189	100	0.42	0.32	0.02	14848	0
ballc	CG	100	0037	chr4:2798992-2799189	100	9.97	7.08	2.18	35196	0
ballc	CG	100	0038	chr7:147213115-147214169	100	9.92	7.13	2.20	35204	0
dmpp_list	CG	100	0038	chr7:147213115-147214169	100	0.36	0.33	0.02	12980	0
dmpp_list	CG	100	0039	chr11:132609364-132610559	100	0.34	0.31	0.02	15084	0
ballc	CG	100	0039	chr11:132609364-132610559	100	9.95	7.22	2.14	35180	0
ballc	CG	100	0040	chr18:53505240-53506718	100	9.88	7.12	2.24	35180	0
dmpp_list	CG	100	0040	chr18:53505240-53506718	100	0.74	0.32	0.02	15044	0
dmpp_list	CG	100	0041	chr7:142155340-142155941	100	0.36	0.31	0.02	13204	0
ballc	CG	100	0041	chr7:142155340-142155941	100	9.32	7.11	2.11	35148	0
ballc	CG	100	0042	chr8:93258272-93259554	100	10.01	7.13	2.26	35196	0
dmpp_list	CG	100	0042	chr8:93258272-93259554	100	0.36	0.33	0.02	14820	0
dmpp_list	CG	100	0043	chrX:56913054-56913738	100	0.37	0.33	0.02	14976	0
ballc	CG	100	0043	chrX:56913054-56913738	100	10.01	7.20	2.24	35152	0
ballc	CG	100	0044	chr6:124143967-124145005	100	9.74	7.04	2.20	35152	0
dmpp_list	CG	100	0044	chr6:124143967-124145005	100	0.36	0.33	0.02	12968	0
dmpp_list	CG	100	0045	chr12:57609991-57611227	100	0.77	0.31	0.02	13016	0
ballc	CG	100	0045	chr12:57609991-57611227	100	9.76	7.10	2.17	35208	0
ballc	CG	100	0046	chr5:16416167-16417731	100	9.92	7.14	2.22	35160	0
dmpp_list	CG	100	0046	chr5:16416167-16417731	100	0.34	0.31	0.02	13000	0
dmpp_list	CG	100	0047	chrX:33732914-33733256	100	0.38	0.35	0.02	13020	0
ballc	CG	100	0047	chrX:33732914-33733256	100	10.04	7.15	2.24	35232	0
ballc	CG	100	0048	chr20:7208269-7209333	100	10.01	7.22	2.22	35208	0
dmpp_list	CG	100	0048	chr20:7208269-7209333	100	0.77	0.34	0.03	15056	0
dmpp_list	CG	100	0049	chr2:236818024-236818461	100	0.67	0.33	0.03	12796	0
ballc	CG	100	0049	chr2:236818024-236818461	100	9.41	6.68	2.08	35168	0
ballc	CG	100	0050	chr13:55588098-55589591	100	7.26	5.00	1.74	35200	0
dmpp_list	CG	100	0050	chr13:55588098-55589591	100	0.45	0.23	0.02	13016	0
dmpp_list	CG	100	0051	chr4:72047673-72048201	100	0.25	0.22	0.02	15040	0
ballc	CG	100	0051	chr4:72047673-72048201	100	7.41	4.82	1.83	35164	0
ballc	CG	100	0052	chr5:15449680-15450643	100	7.37	4.88	1.74	35200	0
